Rank,Title,Artist,Year
32,Dynamite,Taio Cruz,2011
33,Motivation,Kelly Rowland Featuring Lil Wayne,2011
34,We R Who We R,Ke$ha,2011
35,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011
36,The Show Goes On,Lupe Fiasco,2011
37,I Wanna Go,Britney Spears,2011
38,If I Die Young,The Band Perry,2011
39,Tonight Tonight,Hot Chelle Rae,2011
40,Born This Way,Lady Gaga,2011
41,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011
42,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011
43,Just A Dream,Nelly,2011
44,Yeah 3X,Chris Brown,2011
45,Blow,Ke$ha,2011
46,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011
47,You Make Me Feel...,Cobra Starship Featuring Sabi,2011
48,Just A Kiss,Lady Antebellum,2011
49,Stereo Love,Edward Maya & Vika Jigulina,2011
50,For The First Time,The Script,2011
51,Black And Yellow,Wiz Khalifa,2011
52,All Of The Lights ,Kanye West,2011
53,She Ain't You,Chris Brown,2011
54,Rocketeer,Far*East Movement Featuring Ryan Tedder,2011
55,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011
56,In The Dark,Dev,2011
57,Roll Up,Wiz Khalifa,2011
58,Back To December,Taylor Swift,2011
59,More,Usher,2011
60,My Last,Big Sean Featuring Chris Brown,2011
61,Teenage Dream,Katy Perry,2011
62,Like A G6,Far*East Movement Featuring Cataracs & Dev,2011
63,Sure Thing,Miguel,2011
64,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011
65,Pretty Girl Rock,Keri Hilson,2011
66,Hold It Against Me,Britney Spears,2011
67,Written In The Stars,Tinie Tempah Featuring Eric Turner,2011
68,Bottoms Up,Trey Songz Featuring Nicki Minaj,2011
69,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2011
70,Best Thing I Never Had,Beyonce,2011
71,Headlines,Drake,2011
72,Without You,David Guetta Featuring Usher,2011
73,Dirt Road Anthem,Jason Aldean,2011
74,Animal,Neon Trees,2011
75,You And I,Lady Gaga,2011
1,Somebody That I Used To Know,Gotye Featuring Kimbra,2012
2,We Found Love,Rihanna Featuring Calvin Harris,2012
3,Payphone,Maroon 5 Featuring Wiz Khalifa,2012
4,We Are Young,fun. Featuring Janelle Monae,2012
5,Set Fire To The Rain,Adele,2012
6,Stronger (What Doesn't Kill You),Kelly Clarkson,2012
7,Call Me Maybe,Carly Rae Jepsen,2012
8,Glad You Came,The Wanted,2012
9,Good Feeling,Flo Rida,2012
10,Lights,Ellie Goulding,2012
11,Where Have You Been,Rihanna,2012
12,Wide Awake,Katy Perry,2012
13,It Will Rain ,Bruno Mars,2012
14,Starships,Nicki Minaj,2012
15,Sexy And I Know It,LMFAO,2012
16,Wild Ones,Flo Rida Featuring Sia,2012
17,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012
18,Take Care,Drake Featuring Rihanna,2012
19,What Makes You Beautiful,One Direction,2012
20,The One That Got Away,Katy Perry,2012
21,Blow Me (One Last Kiss),P!nk,2012
22,The Motto,Drake Featuring Lil Wayne,2012
23,Without You,David Guetta Featuring Usher,2012
24,Turn Me On,David Guetta Featuring Nicki Minaj,2012
25,One More Night,Maroon 5,2012
26,Titanium,David Guetta Featuring Sia,2012
27,Give Your Heart A Break,Demi Lovato,2012
28,Ni**as in Paris,Jay Z Kanye West,2012
29,Everybody Talks,Neon Trees,2012
30,Drive By,Train,2012
31,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012
32,Part Of Me,Katy Perry ,2012
33,Someone Like You,Adele,2012
34,Domino,Jessie J,2012
35,Some Nights,fun.,2012
36,As Long As You Love Me,Justin Bieber Featuring Big Sean,2012
37,We Are Never Ever Getting Back Together,Taylor Swift ,2012
38,Whistle,Flo Rida,2012
39,Scream,Usher,2012
40,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012
41,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012
42,International Love,Pitbull Featuring Chris Brown,2012
43,Work Out,J. Cole,2012
44,Good Time,Owl City & Carly Rae Jepsen,2012
45,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012
46,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012
47,Too Close,Alex Clare,2012
48,Not Over You,Gavin DeGraw,2012
49,Feel So Close,Calvin Harris,2012
50,Let's Go,Calvin Harris Featuring Ne-Yo,2012
51,I Won't Give Up,Jason Mraz,2012
52,Dance (A$$),Big Sean Featuring Nicki Minaj,2012
53,Don't Wake Me Up,Chris Brown,2012
54,No Lie,2 Chainz Featuring Drake,2012
55,Boyfriend,Justin Bieber,2012
56,Heart Attack,Trey Songz,2012
57,Rumour Has It,Adele,2012
58,Drank In My Cup,Kirko Bangz,2012
59,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012
60,Birthday Cake,Rihanna Featuring Chris Brown,2012
61,Adorn,Miguel,2012
62,Love You Like A Love Song,Selena Gomez & The Scene,2012
63,Headlines,Drake,2012
64,Climax,Usher,2012
65,Rack City,Tyga,2012
66,Make Me Proud,Drake Featuring Nicki Minaj,2012
67,Lotus Flower Bomb,Wale Featuring Miguel ,2012
68,Mr. Know It All,Kelly Clarkson,2012
69,You Make Me Feel...,Cobra Starship Featuring Sabi,2012
70,Brokenhearted,Karmin,2012
71,Springsteen,Eric Church,2012
72,Leave You Alone,Young Jeezy Featuring Ne-Yo,2012
73,Cashin' Out,Ca$h Out,2012
74,Drunk On You,Luke Bryan,2012
75,2 Reasons,Trey Songz Featuring T.I.,2012
1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013
2,Mirrors,Justin Timberlake,2013
3,Locked Out Of Heaven,Bruno Mars,2013
4,Ho Hey,The Lumineers,2013
5,Just Give Me A Reason,P!nk Featuring Nate Ruess,2013
6,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013
7,Stay,Rihanna Featuring Mikky Ekko,2013
8,When I Was Your Man,Bruno Mars,2013
9,I Knew You Were Trouble.,Taylor Swift,2013
10,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013
11,Get Lucky,Daft Punk Featuring Pharrell Williams,2013
12,Radioactive,Imagine Dragons,2013
13,Roar,Katy Perry,2013
14,Suit & Tie,Justin Timberlake Featuring JAY Z,2013
15,Safe And Sound,Capital Cities,2013
16,Cruise,Florida Georgia Line Featuring Nelly,2013
17,Daylight,Maroon 5,2013
18,Clarity,Zedd Featuring Foxes,2013
19,Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013
20,Royals,Lorde,2013
21,Holy Grail,Jay Z Featuring Justin Timberlake,2013
22,Diamonds,Rihanna,2013
23,One More Night,Maroon 5,2013
24,Love Somebody,Maroon 5,2013
25,Treasure,Bruno Mars,2013
26,Wake Me Up!,Avicii,2013
27,"Hold On, We're Going Home",Drake Featuring Majid Jordan ,2013
28,Scream & Shout,will.i.am & Britney Spears,2013
29,Try,P!nk,2013
30,Sweet Nothing,Calvin Harris Featuring Florence Welch,2013
31,Feel This Moment,Pitbull Featuring Christina Aguilera,2013
32,I Love It ,Icona Pop Featuring Charli XCX,2013
33,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013
34,Home,Phillip Phillips,2013
35,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013
36,I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013
37,Some Nights,fun.,2013
38,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013
39,Summertime Sadness,Lana Del Rey & Cedric Gervais,2013
40,It's Time,Imagine Dragons,2013
41,Die Young,Ke$ha,2013
42,Come & Get It,Selena Gomez,2013
43,I Will Wait,Mumford & Sons,2013
44,I Cry,Flo Rida,2013
45, Power Trip,J. Cole Featuring Miguel,2013
46,Adorn,Miguel,2013
47,The Other Side,Jason Derulo,2013
48,Applause,Lady Gaga,2013
49,"Gone, Gone, Gone",Phillip Phillips,2013
50,Catch My Breath,Kelly Clarkson,2013
51,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013
52,The Way,Ariana Grande Featuring Mac Miller,2013
53,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013
54,Pour It Up,Rihanna,2013
55,Heart Attack,Demi Lovato,2013
56,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013
57,Bad,Wale Featuring Tiara Thomas Or Rihanna,2013
58,Started From The Bottom,Drake,2013
59,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013
60,Wrecking Ball,Miley Cyrus,2013
61,Crooked Smile,J. Cole Featuring TLC,2013
62,The A Team,Ed Sheeran,2013
63,Little Talks,Of Monsters And Men,2013
64,Wagon Wheel,Darius Rucker,2013
65,Love Me,Lil Wayne Featuring Drake & Future,2013
66,Crash My Party,Luke Bryan,2013
67,Night Train,Jason Aldean ,2013
68,Don't Ya,Brett Eldredge,2013
69,Downtown,Lady Antebellum,2013
70,Little Bit Of Everything,Keith Urban,2013
71,Point At You,Justin Moore,2013
72,DONE.,The Band Perry,2013
73,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,2013
74,It Goes Like This,Thomas Rhett,2013
75,Parking Lot Party,Lee Brice,2013
1,All Of Me,John Legend,2014
2,Dark Horse,Katy Perry Featuring Juicy J,2014
3,Happy,Pharrell Williams,2014
4,Counting Stars,OneRepublic,2014
5,Am I Wrong,Nico & Vinz,2014
6,Stay With Me,Sam Smith,2014
7,Rude,MAGIC!,2014
8,Pompeii,Bastille,2014
9,Team,Lorde,2014
10,Wake Me Up!,Avicii,2014
11,The Monster,Eminem Featuring Rihanna,2014
12,Talk Dirty,Jason Derulo Featuring 2 Chainz,2014
13,Fancy,Iggy Azalea Featuring Charli XCX,2014
14,Demons,Imagine Dragons,2014
15,Timber,Pitbull Featuring Ke$ha,2014
16,Problem,Ariana Grande Featuring Iggy Azalea,2014
17,Best Day Of My Life,American Authors,2014
18,Royals,Lorde,2014
19,Story Of My Life,One Direction,2014
20,Latch,Disclosure Featuring Sam Smith,2014
21, All About That Bass,Meghan Trainor,2014
22,Burn,Ellie Goulding,2014
23,Shake It Off,Taylor Swift,2014
24,Don't Tell 'Em,Jeremih Featuring YG,2014
25,Not A Bad Thing,Justin Timberlake,2014
26,Let Her Go,Passenger,2014
27,Maps,Maroon 5,2014
28,Boom Clap,Charli XCX,2014
29,Summer,Calvin Harris,2014
30,Black Widow,Iggy Azalea Featuring Rita Ora,2014
31,Ain't It Fun,Paramore,2014
32,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014
33,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014
34,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014
35,Show Me,Kid Ink Featuring Chris Brown,2014
36,Say Something,A Great Big World & Christina Aguilera,2014
37,Drunk In Love,Beyonce Featuring Jay Z,2014
38,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014
39,Rather Be,Clean Bandit Featuring Jess Glynne,2014
40,Turn Down For What,DJ Snake & Lil Jon,2014
41,Roar,Katy Perry,2014
42,Break Free,Ariana Grande Featuring Zedd,2014
43,Habits (Stay High),Tove Lo,2014
44,2 On,Tinashe Featuring ScHoolboy Q,2014
45,Me And My Broken Heart,Rixton,2014
46,Na Na,Trey Songz,2014
47,Don't,Ed Sheeran,2014
48,Sing,Ed Sheeran,2014
49,A Sky Full Of Stars,Coldplay,2014
50,Stay The Night,Zedd Featuring Hayley Williams,2014
51,Love Runs Out,OneRepublic,2014
52,Brave,Sara Bareilles,2014
53,Chandelier,Sia,2014
54,Cool Kids,Echosmith,2014
55,Wrecking Ball,Miley Cyrus,2014
56,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014
57,Play It Again,Luke Bryan,2014
58,Beat Of The Music,Brett Eldredge,2014
59,Do What U Want,Lady Gaga Featuring R. Kelly,2014
60,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,2014
61,Dirt,Florida Georgia Line,2014
62,Sweater Weather,The Neighbourhood,2014
63,Classic,MKTO,2014
64,When She Says Baby,Jason Aldean,2014
65,Animals,Maroon 5,2014
66,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014
67,Burnin' It Down,Jason Aldean,2014
68,The Man,Aloe Blacc,2014
69,Chillin' It,Cole Swindell,2014
70,New Flame,Chris Brown Featuring Usher & Rick Ross,2014
71,Birthday,Katy Perry,2014
72,Drink A Beer,Luke Bryan,2014
73,Roller Coaster,Luke Bryan,2014
74,Safe And Sound,Capital Cities,2014
75,American Kids,Kenny Chesney,2014
1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015
2,Shut Up And Dance,WALK THE MOON,2015
3,Thinking Out Loud,Ed Sheeran,2015
4,Sugar,Maroon 5,2015
5,Blank Space,Taylor Swift,2015
6,See You Again,Wiz Khalifa Featuring Charlie Puth,2015
7,Want To Want Me,Jason Derulo,2015
8,Can't Feel My Face,The Weeknd,2015
9,Earned It (Fifty Shades Of Grey),The Weeknd,2015
10,Love Me Like You Do,Ellie Goulding,2015
11,Style,Taylor Swift,2015
12,Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015
13,Cheerleader,OMI,2015
14,I'm Not The Only One,Sam Smith,2015
15,Lean On,Major Lazer & DJ Snake Featuring MO,2015
16,Take Me To Church,Hozier,2015
17,Photograph,Ed Sheeran,2015
18,The Hills,The Weeknd,2015
19,Fight Song,Rachel Platten,2015
20,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015
21,Jealous,Nick Jonas,2015
22,"Honey, I'm Good.",Andy Grammer,2015
23,Animals,Maroon 5,2015
24,Somebody,Natalie La Rose Featuring Jeremih,2015
25,Locked Away,R. City Featuring Adam Levine,2015
26,Time Of Our Lives,Pitbull & Ne-Yo,2015
27,Good For You,Selena Gomez Featuring A$AP Rocky,2015
28,Lips Are Movin,Meghan Trainor,2015
29, Talking Body,Tove Lo,2015
30,Wildest Dreams,Taylor Swift,2015
31,Love Me Harder,Ariana Grande & The Weeknd,2015
32,Shake It Off,Taylor Swift,2015
33,Where Are U Now,Skrillex & Diplo With Justin Bieber,2015
34,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015
35,Worth It,Fifth Harmony Featuring Kid Ink,2015
36,Trap Queen,Fetty Wap,2015
37,What Do You Mean?,Justin Bieber,2015
38,Cool For The Summer,Demi Lovato,2015
39,Habits (Stay High), Tove Lo,2015
40,Renegades,X Ambassadors,2015
41,I Don't Mind,Usher Featuring Juicy J,2015
42,Take Your Time, Sam Hunt,2015
43,Stitches,Shawn Mendes,2015
44,Uma Thurman,Fall Out Boy,2015
45,Stay With Me,Sam Smith,2015
46,Waves,Mr. Probz,2015
47,Hotline Bling,Drake,2015
48,You Know You Like It,DJ Snake & AlunaGeorge,2015
49,Riptide,Vance Joy,2015
50,Ex's & Oh's, Elle King,2015
51,I Don't F**k With You,Big Sean Featuring E-40,2015
52,One Last Time,Ariana Grande,2015
53,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015
54,Centuries,Fall Out Boy,2015
55,Don't,Ed Sheeran,2015
56,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015
57,All About That Bass,Meghan Trainor,2015
58,Blame,Calvin Harris Featuring John Newman,2015
59,Heartbeat Song,Kelly Clarkson,2015
60,Prayer In C,Lillywood & Robin Schulz,2015
61,679,Fetty Wap Featuring Remy Boyz,2015
62,My Way,Fetty Wap Featuring Monty,2015
63,B**** Better Have My Money,Rihanna,2015
64,Chains,Nick Jonas,2015
65,Save It For A Rainy Day,Kenny Chesney,2015
66,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015
67,The Heart Wants What It Wants,Selena Gomez,2015
68,Sun Daze,Florida Georgia Line,2015
69,I See You,Luke Bryan,2015
70,Lose My Mind,Brett Eldredge,2015
71,Homegrown,Zac Brown Band,2015
72,Talladega,Eric Church,2015
73,"John Cougar, John Deere, John 3:16",Keith Urban,2015
74,Like A Cowboy,Randy Houser,2015
75,Flex (Ooh Ooh Ooh),Rich Homie Quan,2015
1,Love Yourself,Justin Bieber,2016
2,One Dance,Drake Featuring WizKid & Kyla,2016
3,Stressed Out,twenty one pilots,2016
4,Sorry,Justin Bieber,2016
5,Can't Stop The Feeling!,Justin Timberlake,2016
6,Cheap Thrills,Sia Featuring Sean Paul,2016
7,Don't Let Me Down,The Chainsmokers Featuring Daya,2016
8,Hello,Adele,2016
9,This Is What You Came For,Calvin Harris Featuring Rihanna,2016
10,I Took A Pill In Ibiza,Mike Posner,2016
11,Cake By The Ocean,DNCE,2016
12,Ride,twenty one pilots,2016
13,Stitches,Shawn Mendes,2016
14,Send My Love (To Your New Lover),Adele,2016
15,My House,Flo Rida,2016
16,7 Years,Lukas Graham,2016
17,Just Like Fire,P!nk,2016
18,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016
19,Work,Rihanna Featuring Drake,2016
20,Here,Alessia Cara,2016
21,Needed Me,Rihanna,2016
22,Pillowtalk,Zayn,2016
23,"Me, Myself & I",G-Eazy x Bebe Rexha,2016
24,Same Old Love,Selena Gomez,2016
25,Treat You Better,Shawn Mendes,2016
26,Closer,The Chainsmokers Featuring Halsey,2016
27,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2016
28,Hotline Bling,Drake,2016
29,Cold Water,Major Lazer Featuring Justin Bieber & MO,2016
30,Ex's & Oh's,Elle King,2016
31,In The Night,The Weeknd,2016
32,Heathens,twenty one pilots,2016
33,Let It Go,James Bay,2016
34,Roses,The Chainsmokers Featuring Rozes,2016
35,Dangerous Woman,Ariana Grande,2016
36,Wildest Dreams,Taylor Swift,2016
37,The Hills,The Weeknd,2016
38,Too Good,Drake Featuring Rihanna,2016
39,On My Mind,Ellie Goulding,2016
40,Let Me Love You,DJ Snake Featuring Justin Bieber ,2016
41,Never Forget You,Zara Larsson & MNEK,2016
42,Controlla,Drake,2016
43,For Free,DJ Khaled Featuring Drake,2016
44,Die A Happy Man,Thomas Rhett,2016
45,One Call Away,Charlie Puth,2016
46,Don't Mind,Kent Jones,2016
47,Panda,Desiigner,2016
48,Luv,Tory Lanez,2016
49,Hands To Myself,Selena Gomez,2016
50,When We Were Young,Adele,2016
51,Gold,Kiiara,2016
52,Starboy,The Weeknd Featuring Daft Punk,2016
53,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,2016
54,Say It,Tory Lanez,2016
55,Into You,Ariana Grande,2016
56,Don't, Bryson Tiller,2016
57,No,Meghan Trainor,2016
58,What Do You Mean?,Justin Bieber,2016
59,"Sit Still, Look Pretty",Daya,2016
60,Hide Away,Daya,2016
61,Oui,Jeremih,2016
62,Unsteady,X Ambassadors,2016
63,H.O.L.Y.,Florida Georgia Line,2016
64,Jumpman,Drake & Future,2016
65,Wasted Time,Keith Urban,2016
66,Close,Nick Jonas Featuring Tove Lo,2016
67,Snapback,Old Dominion,2016
68,Antidote,Travis Scott,2016
69,Think Of You,Chris Young Duet With Cassadee Pope,2016
70,Setting The World On Fire,Kenny Chesney Featuring P!nk,2016
71,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,2016
72,T-Shirt,Thomas Rhett,2016
73,Sorry,Beyonce,2016
74,Backroad Song,Granger Smith,2016
75,Lights Come On,Jason Aldean,2016
1,Shape Of You,Ed Sheeran,2017
2,That's What I Like,Bruno Mars,2017
3,Something Just Like This,The Chainsmokers & Coldplay,2017
4,Scars To Your Beautiful,Alessia Cara,2017
5,Closer,The Chainsmokers Featuring Halsey,2017
6,Despacito ,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017
7,Stay,Zedd & Alessia Cara,2017
8,There's Nothing Holdin' Me Back,Shawn Mendes,2017
9,Say You Won't Let Go,James Arthur,2017
10,Believer,Imagine Dragons,2017
11,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017
12,Body Like A Back Road,Sam Hunt,2017
13,24K Magic,Bruno Mars,2017
14,Attention,Charlie Puth,2017
15,It Ain't Me,Kygo x Selena Gomez,2017
16,Love On The Brain, Rihanna,2017
17,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2017
18,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017
19,Slow Hands,Niall Horan,2017
20,Starboy,The Weeknd Featuring Daft Punk,2017
21,I Feel It Coming,The Weeknd Featuring Daft Punk,2017
22,Let Me Love You,DJ Snake Featuring Justin Bieber,2017
23,Unforgettable,French Montana Featuring Swae Lee,2017
24,Side To Side,Ariana Grande Featuring Nicki Minaj,2017
25,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2017
26,Bad Things,Machine Gun Kelly x Camila Cabello,2017
27,Redbone,Childish Gambino,2017
28,Strip That Down,Liam Payne Featuring Quavo,2017
29,Feel It Still,Portugal. The Man,2017
30,Issues,Julia Michaels,2017
31,Humble.,Kendrick Lamar,2017
32,Castle On The Hill,Ed Sheeran,2017
33,Fake Love,Drake,2017
34,Paris,The Chainsmokers,2017
35,Mercy,Shawn Mendes,2017
36,Water Under The Bridge,Adele,2017
37,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017
38,Can't Stop The Feeling!,Justin Timberlake,2017
39,Heathens,twenty one pilots,2017
40,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,2017
41,Now Or Never,Halsey,2017
42,Treat You Better,Shawn Mendes,2017
43,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017
44,Cold,Maroon 5 Featuring Future,2017
45,Starving,Hailee Steinfeld & Grey Featuring Zedd,2017
46,Location,Khalid,2017
47,Bodak Yellow (Money Moves),Cardi B,2017
48,What About Us,P!nk,2017
49,Bounce Back,Big Sean,2017
50,Cheap Thrills,Sia Featuring Sean Paul,2017
51,Mask Off,Future,2017
52,In Case You Didn't Know,Brett Young,2017
53,A Guy With A Girl,Blake Shelton,2017
54,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2017
55,Praying,Kesha,2017
56,Sorry Not Sorry,Demi Lovato,2017
57,Do I Make You Wanna,Billy Currington,2017
58,Look What You Made Me Do,Taylor Swift,2017
59,Small Town Boy,Dustin Lynch,2017
60,Mi Gente,J Balvin & Willy William Featuring Beyonce,2017
61,What Lovers Do,Maroon 5 Featuring SZA,2017
62,Rake It Up,Yo Gotti Featuring Nicki Minaj,2017
63,Hurricane,Luke Combs,2017
64,Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017
65,This Town,Niall Horan,2017
66,No Such Thing As A Broken Heart,Old Dominion,2017
67,My Girl,Dylan Scott,2017
