,Song Rank,Song Title,Song Artist,Song Year
421,"
47
","
I Get The Bag
","
Gucci Mane Featuring Migos
",2018
422,"
48
","
I'm Upset
","

Drake

",2018
423,"
49
","
Roll In Peace
","
Kodak Black Featuring XXXTENTACION
",2018
424,"
50
","
Bank Account
","

21 Savage

",2018
425,"
51
","
Plain Jane
","
A$AP Ferg Featuring Nicki Minaj
",2018
426,"
52
","
Shape Of You
","

Ed Sheeran

",2018
427,"
53
","
Te Bote
","
Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny
",2018
428,"
54
","
Too Good At Goodbyes
","

Sam Smith

",2018
429,"
55
","
All The Stars
","
Kendrick Lamar & SZA
",2018
430,"
56
","
Be Careful
","

Cardi B

",2018
431,"
57
","
Big Bank
","
YG Featuring 2 Chainz, Big Sean & Nicki Minaj
",2018
432,"
58
","
Outside Today
","

YoungBoy Never Broke Again

",2018
433,"
59
","
Changes
","

XXXTENTACION

",2018
434,"
60
","
All Girls Are The Same
","

Juice WRLD

",2018
435,"
61
","
Call Out My Name
","

The Weeknd

",2018
436,"
62
","
Heaven
","

Kane Brown

",2018
437,"
63
","
1-800-273-8255
","
Logic Featuring Alessia Cara & Khalid
",2018
438,"
64
","
Bad At Love
","

Halsey

",2018
439,"
65
","
Drip Too Hard
","

Lil Baby & Gunna

",2018
440,"
66
","
The Way Life Goes
","
Lil Uzi Vert Featuring Nicki Minaj
",2018
441,"
67
","
Him & I
","
G-Eazy & Halsey
",2018
442,"
68
","
Eastside
","
benny blanco, Halsey & Khalid
 ",2018
443,"
69
","
I Love It
","
Kanye West & Lil Pump
",2018
444,"
 70
","
Japan
","

Famous Dex

",2018
445,"
71
","
Youngblood
","

5 Seconds Of Summer

",2018
446,"
72
","
Congratulations
","
Post Malone Featuring Quavo
",2018
447,"
73
","
King's Dead
","
Jay Rock, Kendrick Lamar, Future & James Blake
",2018
448,"
74
","
Mo Bamba
","

Sheck Wes

",2018
449,"
75
","
The Weekend
","

SZA

",2018
450,"
1
","
Old Town Road
","
Lil Nas X Featuring Billy Ray Cyrus
",2019
451,"
2
","
Sunflower (Spider-Man: Into The Spider-Verse)
","

Post Malone & Swae Lee

",2019
452,"
3
","
Without Me
","

Halsey

",2019
453,"
4
","
Sicko Mode
","

Travis Scott

",2019
454,"
5
","
Bad Guy
","

Billie Eilish

",2019
455,"
6
","
7 Rings
","

Ariana Grande

",2019
456,"
7
","
Wow.
","

Post Malone

",2019
457,"
8
","
Happier
","
Marshmello & Bastille
",2019
458,"
9
","
Baby Shark
","
Pinkfong
",2019
459,"
10
","
Thank U, Next
","

Ariana Grande

",2019
460,"
11
","
Middle Child
","

J. Cole

",2019
461,"
12
","
Going Bad
","
Meek Mill Featuring Drake
",2019
462,"
13
","
Ran$om
","

Lil Tecca

",2019
463,"
14
","
Drip Too Hard
","

Lil Baby & Gunna

",2019
464,"
15
","
Suge
","
DaBaby
",2019
465,"
16
","
Truth Hurts
","

Lizzo

",2019
466,"
17
","
No Guidance
","
Chris Brown Featuring Drake
",2019
467,"
18
","
Senorita
","
Shawn Mendes & Camila Cabello
",2019
468,"
19
","
Talk
","

Khalid

",2019
469,"
20
","
Better
","

Khalid

",2019
470,"
21
","
Lucid Dreams
","

Juice WRLD

",2019
471,"
22
","
Pop Out
","
Polo G Featuring Lil Tjay
",2019
472,"
23
","
Mo Bamba
","

Sheck Wes

",2019
473,"
24
","
Panini
","

Lil Nas X

",2019
474,"
25
","
Money In The Grave
","
Drake Featuring Rick Ross
",2019
475,"
26
","
Thotiana
","

Blueface

",2019
476,"
27
","
ZEZE
","
Kodak Black Featuring Travis Scott & Offset
",2019
477,"
28
","
Sucker
","

Jonas Brothers

",2019
478,"
29
","
Envy Me
","

Calboy

",2019
479,"
30
","
Murder On My Mind
","

YNW Melly

",2019
480,"
31
","
Goodbyes
","
Post Malone Featuring Young Thug
",2019
481,"
32
","
Believer
","

Imagine Dragons

",2019
482,"
33
","
I Don't Care
","
Ed Sheeran & Justin Bieber
",2019
483,"
34
","
A Lot
","

21 Savage

",2019
484,"
35
","
Girls Like You
","
Maroon 5 Featuring Cardi B
",2019
485,"
36
","
Break Up With Your Girlfriend, I'm Bored
","

Ariana Grande

",2019
486,"
37
","
Money
","

Cardi B

",2019
487,"
38
","
Swervin
","
A Boogie Wit da Hoodie Featuring 6ix9ine
",2019
488,"
39
","
Eastside
","
benny blanco, Halsey & Khalid
",2019
489,"
40
","
Sweet But Psycho
","

Ava Max

",2019
490,"
41
","
Bury A Friend
","

Billie Eilish

",2019
491,"
42
","
Dancing With A Stranger
","
Sam Smith & Normani
",2019
492,"
43
","
Better Now
","

Post Malone

",2019
493,"
44
","
Look Back At It
","

A Boogie Wit da Hoodie

",2019
494,"
45
","
The Git Up
","

Blanco Brown

",2019
495,"
46
","
Someone You Loved
","

Lewis Capaldi

",2019
496,"
47
","
Please Me
","
Cardi B & Bruno Mars
",2019
497,"
48
","
Pure Water
","
Mustard & Migos
",2019
498,"
49
","
The London
","
Young Thug, J. Cole & Travis Scott
",2019
499,"
50
","
Act Up
","
City Girls
",2019
500,"
51
","
Wake Up In The Sky
","
Gucci Mane X Bruno Mars X Kodak Black
",2019
501,"
52
","
You Need To Calm Down
","

Taylor Swift

",2019
502,"
53
","
Moonlight
","

XXXTENTACION

",2019
503,"
54
","
Baby
","
Lil Baby & DaBaby
",2019
504,"
55
","
Circles
","

Post Malone

",2019
505,"
56
","
Leave Me Alone
","
Flipp Dinero
",2019
506,"
57
","
Taki Taki
","
DJ Snake Featuring Selena Gomez, Ozuna & Cardi B
",2019
507,"
58
","
Shotta Flow
","

NLE Choppa

",2019
508,"
59
","
Beautiful People
","

Ed Sheeran Featuring Khalid

",2019
509,"
60
","
MIA
","
Bad Bunny Featuring Drake
",2019
510,"
61
","
If I Can't Have You
","

Shawn Mendes

",2019
511,"
62
","
Hot
 ","

Young Thug Featuring Gunna

",2019
512,"
63
","
When The Party's Over
","

Billie Eilish

",2019
513,"
64
","
Clout
","
Offset Featuring Cardi B
",2019
514,"
65
","
Shallow
","
Lady Gaga & Bradley Cooper
",2019
515,"
66
","
Sad!
","

XXXTENTACION

",2019
516,"
67
","
Earfquake
","

Tyler, The Creator

",2019
517,"
68
","
Robbery
","

Juice WRLD

",2019
518,"
69
","
I Like It
","
Cardi B, Bad Bunny & J Balvin
",2019
519,"
70
","
In My Feelings
","

Drake

",2019
520,"
71
","
High Hopes
","

Panic! At The Disco

",2019
521,"
72
","
ME!
","
Taylor Swift Featuring Brendon Urie
",2019
522,"
73
","
HIGHEST IN THE ROOM
 ","

Travis Scott

",2019
523,"
74
","
All I Want For Christmas Is You
","

Mariah Carey

",2019
524,"
75
","
Con Calma
","
Daddy Yankee & Katy Perry Featuring Snow
",2019
